
""" продукта";""" of the product"
июл;***jul
Июль;***July
июн;***jun
Июнь;***June
каждый день на отдельном листе;***each day on a separate sheet
какие дни выводить;***which days to display
Календарь;***Calendar
Календарь вещания;***Calendar of broadcasting
Календарь вещания...;***Calendar of broadcasting...
Календарь состояний дней;***Calendar of day condition
Календарь...;***Calendar...
Кампания;***Company
кан.вид.;***кан.вид.
кан.разм.;***кан.разм.
канал;***channel
канал видит;***Channel view
канал размещает;***channel places
канал:;***channel:
?;?
канал_ид;***channel_id
каналSID;***channelSID
Каналы;***channel
Каналы, зарегистрированные в системе;***channel, registered in the system
Каналы, продавцы, клиенты....;***Chennels, sellers, clients....
Каналы...;***channels...
Касcеты;***Cassettes
Кассета;***Cassette
Кассеты;***Cassettes
Кассеты...;***Cassettes...
кат. продукта;***product category
Каталог продуктов;***Product Catalog
Категории;***Categories
Категории и жанры;***Categories and genres
Категории и жанры...;***Categories and genres...
Категории продуктов;***product category
Категория;***Category
Категория %s;***Category %s
категория id;***category id
Категория блока;***Block category
Категория вставок;***Spot category
Категория для дозаполнения блоков;***C
категория объекта;***object category
Категория программ;***program category
категория продукта;***product category
Категория рекламируемого продукта;***advertised product category
категория ролика;***clip category
категорияID;***categoryID
Квоты;***quotas
Квоты на;***quotas on
Квоты...;***quotas...
Кем/когда создан;***Created by/when
кл.вид.;***кл.вид.
кл.разм.;***кл.разм.
Клиент;***Client
клиент видит;***
клиент размещает;***client places
Клиент:;***Client:
Клиентские точки доступа;***Client access points
Клиенты;***
Клиенты, зарегистрированные в системе;***Clients
Клиенты...;***Clients...
Клип;***Clip
Клип %d %s размещен в блоке %s;*** Clip%d %s placed  in block %s
клип UID;***clip UID
клип ИД;***clip ID
клнт;***клнт
клон.;***клон.
клонированный заказ;***cloned order
когда;***when
Код;***Code
код ЗКПО;***код ЗКПО
Код категории продукта;***Code of the product category
Код медиа-носителя;***Code of the media carrier
код носителя;***code of the carrier
код ограничения;***код ограничения
код передачи;***code of the program
коду;***code
кол-во серий;***nemoer of episodes
кол-во: ###0;***кол-во: ###0
количество;***number/amount
Количество байт переданных в сеть в пределах сессии;***The number of bytes transmitted to the network within a session
Количество байт поступивших от клиента;***The number of bytes transmitted from the client
Количество байт принятых сервером из сети;***The number of bytes transmitted to the network within a session
Количество ббайт отправленных клиенту в пределах сессии;***The number of bytes the server received from the network
Количество в заказе;***Amount in the order
количество вставок;***amount/ number of spots
Количество пользователей %d;***Number of the users %d
количество программ;***number of programs
количество размещений;***number of placements
количество серий;***number of episodes
команда;***team
Комментарии;***Comments
комментарий;***comment
коммерч.;***commercial
коммерческая;***commercial
коммерческий;***commercial
Компания;***Company
Компания в которой работает пользователь;***Compnay where user works
конечный адрес;***final address
Контактные телефоны пользователя;***Contact phone numbers
Контактный E-mail пользователя;***Contact E-mail of the user
контейнер;***container
Контракт;***Contract
Контракты;***Contract
Контракты...;***Contracts…
Копирование размещений;***Copying of placements
Копировать;***Copy
Копировать выбранные объекты;***Copy selected objects
Копировать день;***Copy a day
Копировать на канал;***Copy to the channel
Копировать объекты;***Copy object
Копировать содержимое всего дня;***Копировать содержимое всего дня
Корневая папка;***Корневая папка
короткое;***short
короткое название;***short title/name
Корректировать день;***edit day/ change
Корректировать день...;***Edit day…
корректировка;***Edit
корректировка по подтвержденному времени;***edit by confirmed/approved time
корректировка по подтвержденным прогнозным рейтингам;***
корректировку одобрили;***edit/ changes have been approved
коэф.;***factor/coefficient
коэффициент;***coefficient
кто;***who
курсив;***italics
Курсы валют;***Exchange rates
Легенда;***Legend
лимит;***limit
Линии;***Lines
Лицензионный ключ;***License key
лого;***logo
Логотип;*** Logo
Логотипы;*** Logos
локальная;***local
локального маркера;***local marker
локальный;***local
Локальный файл;***Local file
Май;***May
Макс.длит.;***Max duration
Макс.длительность;***Max duration
макс.коэф.;***Max. coefficient
Макс.коэффициент;***Max. coefficient
макс.коэффциент;***Max. coefficient
максимальное;***max
Максимальный процент от рекламного времени в сутках доступный для букирования этим клиентом;***The maximum percentage of advertising time in the day available for this client to book
Максимум по закону (сек);***Maximum by legislation (sec.)
мар;***mar
маркера фиксации;***marker of fixation
Маркеры;***Markers
Март;***March
"Мастер """"";"***Wizard """""
"Мастер ""Новый видео-продукт""";"***Wizard ""New video-product"""
"Мастер ""Новый заказ""";"***Wizard ""New order"""
"Мастер ""Новый канал""";"***Wizard""New channel"""
"Мастер ""Новый клиент""";"***Wizard ""New client"""
"Мастер ""Новый продавец""";"***Wizard ""New seller"""
"Мастер ""Новый продукт""";"***Wizard ""New product"""
"Мастер ""Новый ролик""";"***Wizard ""New clip"""
"Мастер ""Пакетного создания заказов""";"***Мастер ""Пакетного создания заказов"""
"Мастер ""Размещаемый продукт""";"***Wizard ""Placed product"""
"Мастер ""Создание контракта""";"***Wizard ""Creating a contract """
"Мастер ""Создание медиа-носителя""";"***Wizard ""Creating of the media carrier"""
"Мастер ""Создание региона""";"***Wizard ""Creaion of the region"""
"Мастер ""Создание ТЖС""";"***Wizard ""Creation of TGG"""
Масштаб временной шкалы, сек;***The scale of the timeline, sec
Материал;***Material
Медиа инфо;***Media info
Медиа информация;***Media information
Медиа файл;***Media file
медиа-код;***media code
Медиа-носитель;***media carrier
Медиаматериал;***Media material
Медиаматериалы для роликов;***Media materials for clips
Медианосители;***Media carriers
Медианосители...;***Media carriers…
Медиаплан;***Media plan
Медиаплан по клиенту=@1###;***Media plan for a client=@1###
Медиафайл не указан или не существует;***Media file is is missing or doesn't exist
Менеджер подключений;***Connection Manager
Менеджер подключений...;***Connection Manager...
Менеджеры;***Managers
Меню;***Menu
метод 1 (стандартный);***Method 1 (standard)
метод 2;***Method 2
метод 3 (для Молдовы);***Method 3 (for Moldova)
метод 4 (метод 2 с послескидками);***Method 4 (Method 2 with the discount)
Метод расчета;***Method of calculation
Миллисекунды;***milliseconds
Мин. длительность;***Min. duration
Мин.длит.;***Min.dur.
Мин.длительность;***Min.duration
мин:сек;***min:sec
мм/сс;***mm/ss
Модуль работников Канала;***Module of the channel employees
Монтажный лист;***Playlist
;***Playlist 1=@1###Playlist 2=@2###Playlist 3=@3###Playlistт 4=@4###Playlist 5=@5###Playlist 6=@6###Playlist 7=@7###Playlist 8=@8###Playlist 9=@9###
монтажный лист одобрили;***Playlist has been approved
Монтажный лист...;***Playlist...
мсек;***msec
на всех каналах;***on all channels
на канале;***on the channel
на медиа-носителе;***on the media carrier
надб. основных;***надб. основных
надб. остаточных;***надб. остаточных
надбавка;***markup
Надбавка/скидка;***markup/discount
Нажмите здесь что-бы изменить пароль пользователя;***Click/Press here to change the user passworh
Название;***Name
Название GFK;***Name of GFK
название жанра;***name of a genre
Название используемого в сессии алгоритма сжатия передаваемых через сеть данных;***The name of the algorithm used in the compression session of  the data transmitted over the network
Название используемого в сессии алгоритма шифрования передаваемых через сеть данных;***The name of the encryption algorithm used in the session transmitted over the data network
Название канала;***Name of the channel
Название категории;***Name of the category
название клиента;***Name of the client
Название клипа;***Name of the clip
Название клипа GFK;***Name of the clip GFK
Название компании;***name of the company
название компании канала;***Name of the channel company
название оригинальное;***original name
Название передачи;***name of the program
Название по GFK;***Name of the program by GFK
Название программы;***Name of the program
Название продавца;***Name of the seller
название рабочее;***Working name 
Название ролика;***Name of the clip
Названию;***Name
Названия;***Names
Назначить зарегистрированный продукт клиенту;***Assign the registered product to the client
Назначить клиенту;***Assign to the client
Назначить медиафайл для всех региональных роликов;***Assign a media file to all regional clips
Назначить медиафайл с учетом региональнх хранилищ;***Assign a media file to all regional storages
Найден;***Found
Найден файл;***File has been found
найдено больше одного;***found more than one
Найти;***Find
налог с рекламы;***advertising tax
Наполнение;***Filling
Настройка отбивок;***jingle settings
Настройка отбивок...;***jingle settings...
Настройка параметров редактора размещений;***Setting of the placement editor parameters
Настройка подсветки блоков;***Настройка подсветки блоков
Настройки;***Settings
Настройки параметров отображения сетки;***Settings of the grid displaying parameters
Настройки сеток...;***Grid settings...
Настройки...;***Settings...
Начало;***Beginning/start
Начало в 48;***Начало в 48
начало в файле(time code);***начало в файле(time code)
начало периода;***начало периода
Начало показа в 48-и часовом измерении;***Начало показа в 48-и часовом измерении
начало сеанса;***начало сеанса
начальный адрес;***initial address
Начать генерацию отчета;***Start the report generation
Начинается с 1-го января;***Starting from January 1
НДС;***VAT
Не зарегистрировано ни одного клиента!;***no registered customers!
не интегрированные;***not integrated
не использовать прогноз в факте GRP;***do not use the forecast in fact of GRP
не использовать прогноз в факте SPOT;***do not use the forecast in fact of SPOT
не используется;***not in use
не найден;***not found
не найден локально;***not found locally
не найден на фтп;***не найден на фтп
не определен;***not defined
не отмечено;***not indicated
не отображать информацию о продавце;***do not display information about the seller
Не поддерживается связь между основным и региональным каналом для этой передачи;***the connection between the main and regional channels for this broadcast is not supported.
не подключен;***not connected
Не привязан;***not tied
не связ.;***not tied
не связан;***not tied
не совп.длит.;***duration doesn't match
не совп.назв.;***name doesn't match
не совп.форм.;***format doesn't match
Не совпадает длительность;***duration doesn't match
Не совпадает название;***name doesn't match
Не совпадает формат;***format doesn't match
Не указан %s;***% is not set
Невозможно добавить заказ;***You can not add an order
Недельное размещение;***Weekly placement
Недельное размещение...;***Weekly placement...
неделя на одном листе;***Week on the single page
Неделя на одном листе=@1###По дням (1)=@2###По дням (2)=@3###Разрывы между передачами=@4###Экспорт в MS Word=@5###;***Week on the single page=@1###By days (1)=@2###By days (2)=@3###Breaks between programs=@4###Export to MS Word=@5###
Необходимо выбрать канал;***You must select the channel
Необходимо выбрать клиента;***You must to select a client
Необходимо выбрать ролики;***You must select clips
неопр;***неопр
неопределено;***undefined/not selected
Нет;***No
Нет данных;***No data
Нет доступных каналов;***No channels available
Нет доступных клиентов;***No clients available
низко-приоритетные заказы (НПР);***low priority orders (LPO)
ничего не делать;***ничего не делать
новое время;***new time
Новые временные промежутки;***New time breaks
Новый заказ;***New order
Новый заказ (тест!!!);***New order (test!!!)
Новый канал;***New channel
Новый клиент;***New client
Новый менеджер;***New manager
Новый пароль;***New password
Новый продавец;***New seller
Новый ролик;***New clip
Номер;***Number
номер uid ролика;***number of uid clip
Номер блока;***block number
Номер блока в пределах передачи;***The block number within the program
номер заказа;***Order number
номер каcсеты;***cassette number
номер канала;***channel number
номер категории;***category number
номер клиента;***client number
Номер позиции ролика в блоке;***the clip order number in the block
Номер порта сервера, к которому осуществлено подключение клиента в этой сессии;***The server port number the client connection is provided by within this session.
Номер ролика;***Clip number
номер ролика на VS2000;***clip nubmer on VS2000
номер серии;***number of  epiosode
Нормативы рекламного времени;***Standards of advertising time
Нормативы рекламного времени...;***Standards of advertising time...
Носители;***Carriers
Носитель;***Carrier
ноя;***nov
Ноябрь;***November
нпр;***нпр
нпр размещение;***нпр размещение
НПР заказ;***LPO order
НПР заказ (низко-приоритетное размещение);***LPO order (low priority orders )
нпр размещения подтверждены;***LPO confirmed
НПР условие;***LPO order
НПР-размещения подтверждены;***LPO placements confirmed
Нулевая длительность события;***Zero duration of the event
Нумерация;***numbering
Нумерация блоков;***The numbering of the blocks
Нумерация недель;***The numbering of the  weeks
Область;***Area
Обновить;***update
Обновить данные;***update  the data
Обновить категории для всех рекламных продуктов данного продукта?;***Do you want to update categories for all advertising products of this product?
Обновить медианоситель;***Update the media carrier
Обновить медианоситель..;***Update the media carrier..
Обновить список перечитав данные с сервера;****** Update the list of reading data from the server
Обновление медиаматериала для размещений за период;***Update media material for placements for the period
Обработанно;***processed
Обработка (тест!!!);***processing (test!!!)
Обработка переполнений;***Processing of overflows/overlaps
Образец;***Sample
Образец отчета;***report sample 
общ. скидка;***total discount
общая;***total
Общая информация;***general information
общая скидка;***total discount
Общая строка c суммой;***General line with the amount
Общее;***General
Общие;***General
Общий;***General
Общий уровень сжатия;***The general level of compression
объект;***object
объем в секундах;***volume in seconds
Объем занятой размещениями части блока, сек;***The volume of the block part occupied by placements, sec
Объем размещения;***Placement volume
Объем свободной от размещений части блока, сек;***The volume of the block area free from placements, sec
объем, сек;***volume, sec
Обычное;***Regular
обычный;***Regular
Обычный заказ;***Regular order
Обычный###Float###НПР###- (обобщенный отчет)###;***Regular###Float###LPO###- (general report)###
Ограничение букируемого времени (%);***Limitation of time available for booking (%)
ограничение по заявленным бюджетам;***limitation by budget
ограничение по квоте времени для клиента;***Limitation by the time quote for the client
Ограничения;***Limitations
Ограничения по категории продукта;***Limitations by product category
Ограничения по продукту;***Limitations by product 
Ограничения по производителю;***Limitations by manrfacturer 
Одобрение;***Approval
одобрение корректировки;***approval for editing
Одобрение корректировок;***approvals for editing
одобрение монтажного листа;***approval of the playlist
одобрение формирования;***approval of formation 
Одобрили;***Approved
Одобрить;***Approve
Одобрить ТЖС;***Approve TGG
Ок;***Ok
ок!;***ok!
Окна;***Windows
Окно;***Window
окончание;***the end 
окт;***oct
Октябрь;***October
описание;***description
Описание, заметки;***Description, notes
описанию;***description
опорное время;***опорное время
определить показ;***identify showing
Оптимизировать параметры подключения для достижения максимальной скорости обмена с сервером;***Optimize connection settings for the maximum server exchange rate
Оптимизировать...;***Optimize...
Опции;***Options
оригинальное;***original 
оригинальное название;***original name
осн;***main
осн.размещение;***main placement
основная;***main
основное;***main
основной канал:;***main channel:
Остаток места в блоке;***Available space in the block
остаточный;***available
от;***from
От начала;***From start
отбивка до;***jingle before
отбивка после;***jingle after
Отбивка после коммерческой части;***jingle after commercial part
Отбивки;***jingles
Отбивки уже используются.;***jingles are in use
Отбивки...;***Jingles...
Отбить;***jingle
Отбить :);***jingle :)
Отбить вставками;***jingle with spots
Отбить вставками...;***Jingle with spots..
ответ сервера;***server response
Отклонение(мин);***Deviation (min)
отклонить размещение;***cancel placement
Открепить все;***Открепить все
Открывать ли окно параметров объекта сетки (передачи, вставки...) после его перемещения;***Открывать ли окно параметров объекта сетки (передачи, вставки...) после его перемещения
Открывать ли окно параметров объекта сетки (передачи, вставки...) после его создания;***Открывать ли окно параметров объекта сетки (передачи, вставки...) после его создания
открыто;***open
Открыто (сек);***Open (sec)
Открыто (%);***Open (%)
открыто/макс.;***open/max.
открытое время/заполнение;***open time/filling
открыть папку;***open the folder
Открыть..;***Open..
Отмена;***cancellation
Отмена операции будет невозможна!;***You will not be able to cancel this operation!!
Отменить;***Cancel
Отменить ПНПР (заказ);***Отменить ПНПР (заказ)  Cancel LPO (order) ?
Отменить последние внесенные изменения и закрыть окно;***Cancel recent changes and close the window
Отменить размещение заказа;***Cancel order placement
"Отметить ""Вышел""";"***mark ""Out"""
"Отметить ""Снят""";"***mark ""removed"""
Отображать;***display
"Отображать ""архивные"" ролики";"***Display ""archival"" clips"
Отображать все;***Display all
Отображать вставки;***Display spots
Отображать очередь;***Display queue
Отображать очередь НПР;***Display LPO queue
Отображать передачи;***Display programs
Отображать переполнения рекламы;***Display advertising overflow
Отображать разрывы;***Display breaks
Отображать сетки за;***Display grids for
отображать:;***Display:
Отображть также системные группы;***Display system group
Отправил;***sent/submitted
Отправить;***send/submit
Отправить в буфер;***Send to a buffer
Отправить размещения в буфер;***Send placemects to a buffer
Отправить сообщение пользователю;***Send a message to the user
Отправить сообщение...;***Send a message...
Отправить...;***Send...
Отправка;***sending 
отправлен;***sent
отправлена;***sent
Отправлено;***sent
отставшееся переполнение сбрасывать в буфер;***record the remaining overflow to the buffer
Отсутствие медианосителя;***No media carriers
отсутствует;***no/ not available
Отсутствует блок.;***No block
Отчет;***Report
Отчет по использованию коммерческого времени;***Report on the use of commercial time
Отчет по использованию коммерческого времени по часам;***Report on the use of commercial time by hours
Отчет по размещениям=@1###Рабочий журнал=@2###;***Report on placements=@1###Workbook=@2###
Отчет стоимостей=@1###Отчет стоимостей 2=@2###Обобщенный отчет по клиентам=@3###Обобщенный отчет по заказам=@4###Отчет по клиентам и рекламодателям=@5###Отчет стоимостей 3=@6###;***Report on pricing=@1###Report on pricing 2=@2###general report on clients=@3###general report on orders=@4###Report on clients and advertisers=@5###Report on pricing 3=@6###
Отчет...;***Report...
Отчеты;***Reports
Отчеты по сетке;***Reports on the grid
Отчеты по сетке...;***Report on the grid...
Отчеты по стоимости;***Report on pricing
Отчеты...;***Reports...
Отчёт;***Report
Отчёты;***Reports
Отчёты...;***Reports...
Официальные данные;***Official data
Оформление;***Оформление
Оформление категорий;***Оформление категорий
Оформление категорий...;***Оформление категорий...
Оформление!;***Оформление!
Оформления;***Оформления
Оформления...;***Оформления...
Очередь;***Queue
очередь НПР;***Queue of LPO
очистить;***Clear
Очистить рейтинги вставок;***Clear spot ratings
Очистить весь день;***Clear whole day
Очистить все;***Clear all
Очистить день;***Clear the day
Очистить медиа файл;***Clear media file
Очистить медианоситель;***Clear media carrier
Очистить медианоситель...;***Clear media carrier...
Очистить медиафайл;***Clear media file
Очистить рейтинги программ;***Очистить рейтинги программ
Ошибка;***Ошибка
п.плав.;***п.плав.
Папка;***Папка
Параментры канала;***Параментры канала
параметры;***параметры
Параметры вставки;***Параметры вставки
Параметры жанровой сетки;***Параметры жанровой сетки
Параметры заказа по умолчанию;***Параметры заказа по умолчанию
Параметры нового заказа###Название заказа: %e_name_p###Продукт: %e_adv_product_id_p###Канал: %e_channel_sid_p###Период действия:### с %e_date_start_p по %e_date_end_p###;***Параметры нового заказа###Название заказа: %e_name_p###Продукт: %e_adv_product_id_p###Канал: %e_channel_sid_p###Период действия:### с %e_date_start_p по %e_date_end_p###
параметры отображения сетки;***параметры отображения сетки
Параметры размещения;***Параметры размещения
Параметры редактора сетки;***Параметры редактора сетки
Пароль;***Пароль
Первая неделя из 4-х дней;***Первая неделя из 4-х дней
Первая полная неделя;***Первая полная неделя
перебивка;***перебивка
"Перевести заказ в режим ""размещение""";"***Перевести заказ в режим ""размещение"""
Перевести заказ в режим рассчета (сверки);***Перевести заказ в режим рассчета (сверки)
"перевести заказ в состояние ""планирование""";"***перевести заказ в состояние ""планирование"""
"Перевести заказ в состояние ""подтвержден""";"***Перевести заказ в состояние ""подтвержден"""
Перевести заказ в сотояние рассчета (сверки);***Перевести заказ в сотояние рассчета (сверки)
Перевести сетку в режим формирования;***Перевести сетку в режим формирования
перед;***перед
Передано;***Передано
передач;***передач
Передача;***Передача
Передача привязана ко времени выхода;***Передача привязана ко времени выхода
Передачи;***Передачи
Передачи и вставки;***Передачи и вставки
Передачи###Вставки###Ролики###Вторичные события###;***Передачи###Вставки###Ролики###Вторичные события###
Перезалить;***Перезалить
Переменные в поле Текст######%NAME% - для добавления названия текущей передачи ######%NAME_NEXT% - для добавления названия следующей передачи #########Например,###Далее %NAME_NEXT%;***Переменные в поле Текст######%NAME% - для добавления названия текущей передачи ######%NAME_NEXT% - для добавления названия следующей передачи #########Например,###Далее %NAME_NEXT%
Переместить;***Переместить
Перенести;***Перенести
Переполнение;***Переполнение
Переполнение во вставке;***Переполнение во вставке
Период;***Период
Период действия;***Период действия
Период за который будут отображаться квоты;***Период за который будут отображаться квоты
Период за который будут отображаться сетки;***Период за который будут отображаться сетки
период с;***период с
Период:;***Период:
плав.;***плав.
плавающее размещение;***плавающее размещение
План;***План
План эфира;***План эфира
"План, GRP30""";"***План, GRP30"""
Планер;***Планер
Планер по заказу;***Планер по заказу
планирование;***планирование
Планировщик;***Планировщик
Планируемый показ;***Планируемый показ
планируется демонстрация;***планируется демонстрация
Плановый WGRP;***Плановый WGRP
плану;***плану
Пн;***Пн
Пн 01.08.2005;***Пн 01.08.2005
пнпр;***пнпр
по;***по
по программам;***по программам
по суткам;***по суткам
по суткам...;***по суткам...
по умолч.;***по умолч.
по умолчанию;***по умолчанию
по часам;***по часам
по часам...;***по часам...
Подвиги;***Подвиги
подгон.;***подгон.
Подготовка к єкспорту DigiTV;***Подготовка к єкспорту DigiTV
Подготовка для экспорта в ListBox;***Подготовка для экспорта в ListBox
Подключение;***Подключение
Подключение к серверу;***Подключение к серверу
Подключиться;***Подключиться
Подключиться как другой пользователь;***Подключиться как другой пользователь
Подключиться...;***Подключиться...
Подставить медиа носители;***Подставить медиа носители
Подтвердить;***Подтвердить
подтвердить НПР;***подтвердить НПР
Подтвердить НПР (дни);***Подтвердить НПР (дни)
Подтвердить НПР (дни)...;***Подтвердить НПР (дни)...
Подтвердить НПР (заказ);***Подтвердить НПР (заказ)
Подтвердить размещение заказа;***Подтвердить размещение заказа
подтвержден;***подтвержден
подтвержден НПР;***подтвержден НПР
Подтверждение нового пароля;***Подтверждение нового пароля
подтвержденное плавающее размещение;***подтвержденное плавающее размещение
подтвержденное размещение нпр;***подтвержденное размещение нпр
подтвержденные размещения;***подтвержденные размещения
подчеркнутый;***подчеркнутый
Пожалуйста, заполните название.;***Пожалуйста, заполните название.
поз;***поз
поз.;***поз.
Поза межами;***Поза межами
поза межами держ. мовлення;***поза межами держ. мовлення
поза межами мовлення;***поза межами мовлення
Поздравляю;***Поздравляю
Позиция;***Позиция
Позиция ролика в блоке;***Позиция ролика в блоке
Поиск;***Поиск
Поиск видеоматериалов;***Поиск видеоматериалов
Поиск видеоматериалов...;***Поиск видеоматериалов...
Поиск по;***Поиск по
Показ;***Показ
показ/повтор;***показ/повтор
Показать;***Показать
Показать все категории;***Показать все категории
Показать датасет;***Показать датасет
Показать отбивки;***Показать отбивки
Показать продавцов;***Показать продавцов
Показать...;***Показать...
Показывать;***Показывать
Показывать все;***Показывать все
Полное имя;***Полное имя
положение;***положение
получена;***получена
Получение;***Получение
Получил;***Получил
Получить;***Получить
Получить из производства;***Получить из производства
Получить из производства...;***Получить из производства...
Получить отчёт;***Получить отчёт
Получить...;***Получить...
Пользователи;***Пользователи
Пользователи клиента;***Пользователи клиента
Пользователь;***Пользователь
Пользователь &разрешен;***Пользователь &разрешен
пользователь активен;***пользователь активен
Пользователь(группа);***Пользователь(группа)
Понедельник;***Понедельник
Попытаться подключиться с указанными параметрами;***Попытаться подключиться с указанными параметрами
Порт;***Порт
порт сервера;***порт сервера
после;***после
после перемещения;***после перемещения
после создания;***после создания
ПР;***ПР
пр.вид.;***пр.вид.
пр.длит.;***пр.длит.
пр.разм.;***пр.разм.
Права доступа в системе;***Права доступа в системе
правило фиксации;***правило фиксации
Править;***Править
Править вставку;***Править вставку
Править вставку...;***Править вставку...
Править диапазон;***Править диапазон
Править передачу;***Править передачу
Править передачу...;***Править передачу...
Правка;***Правка
Праздничный;***Праздничный
Прайсовая длительность;***Прайсовая длительность
прг;***прг
предмонтажная подготовка;***предмонтажная подготовка
предупреждение;***предупреждение
Предупреждения;***Предупреждения
Предыдущий год;***Предыдущий год
Предыдущий месяц;***Предыдущий месяц
прем;***прем
Премиум позиции;***Премиум позиции
Премиум позиция;***Премиум позиция
При загрузке файла появились проблемы (см. лог файл);***При загрузке файла появились проблемы (см. лог файл)
При проверке обнаружены ошибки, продолжить?;***При проверке обнаружены ошибки, продолжить?
при расчете премиум надбавки не учитывается длительность ролика;***при расчете премиум надбавки не учитывается длительность ролика
Привилегии;***Привилегии
Привязать все передачи в выбранном дне к времени выхода;***Привязать все передачи в выбранном дне к времени выхода
привязка;***привязка
Привязка выбранной передачи либо вставки ко времени выхода;***Привязка выбранной передачи либо вставки ко времени выхода
Прием;***Прием
признак;***признак
Приложение;***Приложение
Применить;***Применить
примечание;***примечание
примечания;***примечания
Принял;***Принял
Принято;***Принято
Проверить;***Проверить
Проверьте правильность введенной информации и нажмите Далее для выполнения операции;***Проверьте правильность введенной информации и нажмите Далее для выполнения операции
Проверьте правильность введенных расценок по времени;***Проверьте правильность введенных расценок по времени
Проверьте правильность введенных скидок;***Проверьте правильность введенных скидок
"прогноз GRP 30""";"***прогноз GRP 30"""
прогноз.рейтинг;***прогноз.рейтинг
прогнозная;***прогнозная
Прогнозная длительность;***Прогнозная длительность
прогнозная стоимость;***прогнозная стоимость
прогнозные###фактические###прогноз/факт###;***прогнозные###фактические###прогноз/факт###
Прогнозный рейтинг;***Прогнозный рейтинг
Прогнозный рейтинг размещения;***Прогнозный рейтинг размещения
программа;***программа
"Программа ""%s"" c категорией %s";"***Программа ""%s"" c категорией %s"
программа и;***программа и
программа удалена;***программа удалена
Продавец;***Продавец
продавец видит;***продавец видит
продавец размещает;***продавец размещает
Продавцы;***Продавцы
Продавцы, зарегистрированные в системе;***Продавцы, зарегистрированные в системе
Продавцы...;***Продавцы...
Продолжительность сессии;***Продолжительность сессии
Продукт;***Продукт
Продукт:;***Продукт:
продуктID;***продуктID
Продукты;***Продукты
Продукты клиентов;***Продукты клиентов
Производители;***Producers
Производитель;***Producer
Производитель продукта;***Производитель продукта
Производитель рекламируемого продукта;***Производитель рекламируемого продукта
Производство;***Производство
Просмотр;***Просмотр
просмотр финансов для клиента;***просмотр финансов для клиента
Прочее;***Прочее
прочие параметры;***прочие параметры
Пт;***Пт
Пт 05.08.2005;***Пт 05.08.2005
пустые вставки отображать как события;***пустые вставки отображать как события
